name,species,ecotype,notes
Tiburon,Sorghum bicolor,,
DP_079,Sorghum bicolor,,
DP_135,Sorghum bicolor,,
DP_074,Sorghum bicolor,,
DP_213,Sorghum bicolor,,
DP_087,Sorghum bicolor,,
DP_140,Sorghum bicolor,,
DP_033,Sorghum bicolor,,
DP_119,Sorghum bicolor,,
DP_083,Sorghum bicolor,,
DP_041,Sorghum bicolor,,
DP_114,Sorghum bicolor,,
DP_070,Sorghum bicolor,,
DP_116,Sorghum bicolor,,
DP_242,Sorghum bicolor,,
DP_100,Sorghum bicolor,,
DP_243,Sorghum bicolor,,
DP_257,Sorghum bicolor,,
DP_267,Sorghum bicolor,,
DP_187,Sorghum bicolor,,
DP_204,Sorghum bicolor,,
DP_203,Sorghum bicolor,,
DP_148,Sorghum bicolor,,
DP_245,Sorghum bicolor,,
DP_150,Sorghum bicolor,,
DP_262,Sorghum bicolor,,
DP_192,Sorghum bicolor,,
DP_036,Sorghum bicolor,,
DP_077,Sorghum bicolor,,
DP_175,Sorghum bicolor,,
DP_109,Sorghum bicolor,,
DP_039,Sorghum bicolor,,
DP_218,Sorghum bicolor,,
DP_172,Sorghum bicolor,,
DP_021,Sorghum bicolor,,
DP_073,Sorghum bicolor,,
DP_011,Sorghum bicolor,,
DP_122,Sorghum bicolor,,
DP_101,Sorghum bicolor,,
DP_194,Sorghum bicolor,,
DP_226,Sorghum bicolor,,
DP_020,Sorghum bicolor,,
DP_009,Sorghum bicolor,,
DP_145,Sorghum bicolor,,
DP_216,Sorghum bicolor,,
DP_110,Sorghum bicolor,,
DP_108,Sorghum bicolor,,
DP_234,Sorghum bicolor,,
DP_118,Sorghum bicolor,,
DP_269,Sorghum bicolor,,
DP_165,Sorghum bicolor,,
DP_144,Sorghum bicolor,,
DP_270,Sorghum bicolor,,
DP_191,Sorghum bicolor,,
DP_032,Sorghum bicolor,,
DP_046,Sorghum bicolor,,
DP_157,Sorghum bicolor,,
DP_061,Sorghum bicolor,,
DP_054,Sorghum bicolor,,
DP_117,Sorghum bicolor,,
DP_063,Sorghum bicolor,,
DP_252,Sorghum bicolor,,
DP_024,Sorghum bicolor,,
DP_008,Sorghum bicolor,,
DP_158,Sorghum bicolor,,
DP_179,Sorghum bicolor,,
DP_136,Sorghum bicolor,,
DP_042,Sorghum bicolor,,
DP_010,Sorghum bicolor,,
DP_186,Sorghum bicolor,,
DP_202,Sorghum bicolor,,
DP_155,Sorghum bicolor,,
DP_138,Sorghum bicolor,,
DP_048,Sorghum bicolor,,
DP_037,Sorghum bicolor,,
DP_027,Sorghum bicolor,,
DP_132,Sorghum bicolor,,
DP_004,Sorghum bicolor,,
DP_130,Sorghum bicolor,,
DP_256,Sorghum bicolor,,
DP_124,Sorghum bicolor,,
DP_134,Sorghum bicolor,,
DP_007,Sorghum bicolor,,
DP_034,Sorghum bicolor,,
DP_248,Sorghum bicolor,,
DP_129,Sorghum bicolor,,
DP_217,Sorghum bicolor,,
DP_060,Sorghum bicolor,,
DP_139,Sorghum bicolor,,
DP_002,Sorghum bicolor,,
DP_071,Sorghum bicolor,,
DP_151,Sorghum bicolor,,
DP_137,Sorghum bicolor,,
DP_266,Sorghum bicolor,,
DP_082,Sorghum bicolor,,
DP_115,Sorghum bicolor,,
DP_219,Sorghum bicolor,,
DP_127,Sorghum bicolor,,
DP_052,Sorghum bicolor,,
DP_058,Sorghum bicolor,,
DP_263,Sorghum bicolor,,
DP_251,Sorghum bicolor,,
DP_189,Sorghum bicolor,,
DP_080,Sorghum bicolor,,
DP_253,Sorghum bicolor,,
DP_177,Sorghum bicolor,,
DP_265,Sorghum bicolor,,
DP_013,Sorghum bicolor,,
DP_067,Sorghum bicolor,,
DP_249,Sorghum bicolor,,
DP_133,Sorghum bicolor,,
DP_246,Sorghum bicolor,,
DP_264,Sorghum bicolor,,
DP_160,Sorghum bicolor,,
DP_120,Sorghum bicolor,,
DP_050,Sorghum bicolor,,
DP_166,Sorghum bicolor,,
DP_066,Sorghum bicolor,,
DP_171,Sorghum bicolor,,
DP_258,Sorghum bicolor,,
DP_029,Sorghum bicolor,,
DP_207,Sorghum bicolor,,
DP_188,Sorghum bicolor,,
DP_057,Sorghum bicolor,,
DP_259,Sorghum bicolor,,
DP_016,Sorghum bicolor,,
DP_240,Sorghum bicolor,,
DP_231,Sorghum bicolor,,
DP_169,Sorghum bicolor,,
DP_181,Sorghum bicolor,,
DP_250,Sorghum bicolor,,
DP_173,Sorghum bicolor,,
DP_035,Sorghum bicolor,,
DP_085,Sorghum bicolor,,
DP_143,Sorghum bicolor,,
DP_005,Sorghum bicolor,,
DP_174,Sorghum bicolor,,
DP_146,Sorghum bicolor,,
DP_182,Sorghum bicolor,,
DP_183,Sorghum bicolor,,
DP_053,Sorghum bicolor,,
DP_088,Sorghum bicolor,,
DP_113,Sorghum bicolor,,
DP_220,Sorghum bicolor,,
DP_184,Sorghum bicolor,,
DP_159,Sorghum bicolor,,
DP_152,Sorghum bicolor,,
DP_105,Sorghum bicolor,,
DP_075,Sorghum bicolor,,
DP_028,Sorghum bicolor,,
DP_244,Sorghum bicolor,,
DP_153,Sorghum bicolor,,
DP_126,Sorghum bicolor,,
DP_254,Sorghum bicolor,,
DP_056,Sorghum bicolor,,
DP_255,Sorghum bicolor,,
DP_104,Sorghum bicolor,,
DP_090,Sorghum bicolor,,
DP_038,Sorghum bicolor,,
DP_107,Sorghum bicolor,,
DP_026,Sorghum bicolor,,
DP_123,Sorghum bicolor,,
DP_102,Sorghum bicolor,,
DP_164,Sorghum bicolor,,
DP_125,Sorghum bicolor,,
DP_025,Sorghum bicolor,,
DP_023,Sorghum bicolor,,
DP_112,Sorghum bicolor,,
DP_212,Sorghum bicolor,,
DP_196,Sorghum bicolor,,
DP_268,Sorghum bicolor,,
DP_086,Sorghum bicolor,,
DP_001,Sorghum bicolor,,
DP_089,Sorghum bicolor,,
DP_076,Sorghum bicolor,,
DP_078,Sorghum bicolor,,
DP_103,Sorghum bicolor,,
DP_064,Sorghum bicolor,,
DP_031,Sorghum bicolor,,
DP_051,Sorghum bicolor,,
DP_230,Sorghum bicolor,,
DP_069,Sorghum bicolor,,
DP_156,Sorghum bicolor,,
DP_111,Sorghum bicolor,,
DP_154,Sorghum bicolor,,
DP_232,Sorghum bicolor,,
DP_142,Sorghum bicolor,,
DP_167,Sorghum bicolor,,
DP_121,Sorghum bicolor,,
DP_022,Sorghum bicolor,,
DP_147,Sorghum bicolor,,
DP_170,Sorghum bicolor,,
DP_178,Sorghum bicolor,,
DP_261,Sorghum bicolor,,
DP_047,Sorghum bicolor,,
DP_081,Sorghum bicolor,,
DP_180,Sorghum bicolor,,
DP_072,Sorghum bicolor,,
DP_059,Sorghum bicolor,,
DP_149,Sorghum bicolor,,
DP_040,Sorghum bicolor,,
DP_106,Sorghum bicolor,,
DP_128,Sorghum bicolor,,
DP_084,Sorghum bicolor,,
DP_055,Sorghum bicolor,,
DP_014,Sorghum bicolor,,
DP_260,Sorghum bicolor,,
DP_185,Sorghum bicolor,,
DP_006,Sorghum bicolor,,
DP_062,Sorghum bicolor,,
DP_162,Sorghum bicolor,,
DP_012,Sorghum bicolor,,
DP_131,Sorghum bicolor,,
DP_015,Sorghum bicolor,,
DP_045,Sorghum bicolor,,
DP_068,Sorghum bicolor,,
DP_049,Sorghum bicolor,,
DP_176,Sorghum bicolor,,
DP_043,Sorghum bicolor,,
DP_163,Sorghum bicolor,,
DP_065,Sorghum bicolor,,
DP_239,Sorghum bicolor,,
DP_161,Sorghum bicolor,,
DP_168,Sorghum bicolor,,
